round,matchweek_no,date,time,home_team,expected_goals_home,score,expected_goals_away,away_team,attendance,stadium,referee,home_team_score,away_team_score,winner,season,penalty_shoot_out,capacity
,3,2019-10-02,20:00,Liverpool FC,,,,RB Salzburg,52234,Anfield,,4,3,Liverpool FC,2019-2020,0.0,54074.0
,3,2019-10-02,17:55,KRC Genk,,,,SSC Napoli,19962,Cegeka Arena,,0,0,draw,2019-2020,0.0,24956.0
,3,2019-10-02,20:00,Zenit St. Petersburg,,,,SL Benfica,51683,Gazprom Arena,,3,1,Zenit St. Petersburg,2019-2020,0.0,68134.0
,3,2019-10-02,20:00,Lille OSC,,,,Chelsea FC,48523,Stade Pierre Mauroy,,1,2,Chelsea FC,2019-2020,0.0,50186.0
,3,2019-10-02,20:00,RB Leipzig,,,,Olympique Lyon,40194,Red Bull Arena,,0,2,Olympique Lyon,2019-2020,0.0,31895.0
,3,2019-10-02,20:00,Valencia CF,,,,AFC Ajax,44659,Estadio de Mestalla,,0,3,AFC Ajax,2019-2020,0.0,55000.0
,3,2019-10-02,20:00,RB Leipzig,,,,Olympique Lyon,40194,Red Bull Arena,,0,2,Olympique Lyon,2019-2020,0.0,42558.0
,4,2019-10-22,20:00,Club Brugge KV,,,,Paris Saint-Germain,26946,Jan Breydel Stadion,,0,5,Paris Saint-Germain,2019-2020,0.0,29042.0
,4,2019-10-22,17:55,Shakhtar Donetsk,,,,Dinamo Zagreb,21526,Metalist Stadion,,2,2,draw,2019-2020,0.0,41307.0
,4,2019-10-22,20:00,Juventus,,,,Lokomotiv Moskva,38547,Allianz Stadium,,2,1,Juventus,2019-2020,0.0,41254.0
,4,2019-10-22,20:00,Olympiakos Piraeus,,,,Bayern München,31670,Georgios Karaiskakis,,2,3,Bayern München,2019-2020,0.0,33334.0
,4,2019-10-22,20:00,Tottenham Hotspur,,,,Crvena Zvezda,51743,Tottenham Hotspur Stadium,,5,0,Tottenham Hotspur,2019-2020,0.0,62062.0
,4,2019-10-22,17:55,Atlético Madrid,,,,Bayer Leverkusen,56776,Wanda Metropolitano,,1,0,Atlético Madrid,2019-2020,0.0,68000.0
,4,2019-10-22,20:00,Galatasaray,,,,Real Madrid,48886,Nef Stadyumu,,0,1,Real Madrid,2019-2020,0.0,52280.0
,4,2019-10-22,20:00,Manchester City,,,,Atalanta,49308,Etihad Stadium,,5,1,Manchester City,2019-2020,0.0,55097.0
,5,2019-10-23,20:00,RB Salzburg,,,,SSC Napoli,29520,Red Bull Arena,,2,3,SSC Napoli,2019-2020,0.0,42558.0
,5,2019-10-23,20:00,KRC Genk,,,,Liverpool FC,19626,Cegeka Arena,,1,4,Liverpool FC,2019-2020,0.0,24956.0
,5,2019-10-23,20:00,RB Salzburg,,,,SSC Napoli,29520,Red Bull Arena,,2,3,SSC Napoli,2019-2020,0.0,31895.0
,5,2019-10-23,17:55,AFC Ajax,,,,Chelsea FC,52482,Johan Cruijff ArenA,,0,1,Chelsea FC,2019-2020,0.0,54990.0
,5,2019-10-23,17:55,RB Leipzig,,,,Zenit St. Petersburg,41058,Red Bull Arena,,2,1,RB Leipzig,2019-2020,0.0,31895.0
,5,2019-10-23,17:55,RB Leipzig,,,,Zenit St. Petersburg,41058,Red Bull Arena,,2,1,RB Leipzig,2019-2020,0.0,42558.0
,5,2019-10-23,20:00,Lille OSC,,,,Valencia CF,47488,Stade Pierre Mauroy,,1,1,draw,2019-2020,0.0,50186.0
,5,2019-10-23,20:00,Inter,,,,Borussia Dortmund,65673,Giuseppe Meazza,,2,0,Inter,2019-2020,0.0,75923.0
,5,2019-10-23,20:00,SL Benfica,,,,Olympique Lyon,53035,Estádio da Luz,,2,1,SL Benfica,2019-2020,0.0,65272.0
,5,2019-10-23,20:00,Slavia Praha,,,,FC Barcelona,19170,Sinobo Stadium,,1,2,FC Barcelona,2019-2020,0.0,19370.0
,6,2019-11-05,20:00,Olympique Lyon,,,,SL Benfica,51077,Groupama Stadium,,3,1,Olympique Lyon,2019-2020,0.0,59186.0
,6,2019-11-05,20:00,Valencia CF,,,,Lille OSC,38252,Estadio de Mestalla,,4,1,Valencia CF,2019-2020,0.0,55000.0
,6,2019-11-05,20:00,Borussia Dortmund,,,,Inter,66099,Signal Iduna Park,,3,2,Borussia Dortmund,2019-2020,0.0,81365.0
,6,2019-11-05,17:55,Zenit St. Petersburg,,,,RB Leipzig,50452,Gazprom Arena,,0,2,RB Leipzig,2019-2020,0.0,68134.0
,6,2019-11-05,20:00,Chelsea FC,,,,AFC Ajax,39132,Stamford Bridge,,4,4,draw,2019-2020,0.0,41837.0
,6,2019-11-05,20:00,Liverpool FC,,,,KRC Genk,52611,Anfield,,2,1,Liverpool FC,2019-2020,0.0,54074.0
,6,2019-11-05,20:00,SSC Napoli,,,,RB Salzburg,32862,Diego Maradona,,1,1,draw,2019-2020,0.0,60240.0
,6,2019-11-05,17:55,FC Barcelona,,,,Slavia Praha,67023,Spotify Camp Nou,,0,0,draw,2019-2020,0.0,99354.0
,7,2019-11-06,20:00,Dinamo Zagreb,,,,Shakhtar Donetsk,28316,Maksimir,,3,3,draw,2019-2020,0.0,38079.0
,7,2019-11-06,20:00,Paris Saint-Germain,,,,Club Brugge KV,47418,Parc des Princes,,1,0,Paris Saint-Germain,2019-2020,0.0,48712.0
,7,2019-11-06,20:00,Real Madrid,,,,Galatasaray,65492,Santiago Bernabéu,,6,0,Real Madrid,2019-2020,0.0,81044.0
,7,2019-11-06,20:00,Bayer Leverkusen,,,,Atlético Madrid,28160,BayArena,,2,1,Bayer Leverkusen,2019-2020,0.0,30210.0
,7,2019-11-06,17:55,Lokomotiv Moskva,,,,Juventus,26861,RŽD-Arena,,1,2,Juventus,2019-2020,0.0,27320.0
,7,2019-11-06,17:55,Bayern München,,,,Olympiakos Piraeus,63646,Allianz Arena,,2,0,Bayern München,2019-2020,0.0,75024.0
,7,2019-11-06,20:00,Crvena Zvezda,,,,Tottenham Hotspur,42381,Marakana,,0,4,Tottenham Hotspur,2019-2020,0.0,55538.0
,7,2019-11-06,20:00,Atalanta,,,,Manchester City,34326,Giuseppe Meazza,,1,1,draw,2019-2020,0.0,75923.0
,8,2019-11-26,20:00,Manchester City,,,,Shakhtar Donetsk,52020,Etihad Stadium,,1,1,draw,2019-2020,0.0,55097.0
,8,2019-11-26,20:00,Atalanta,,,,Dinamo Zagreb,28365,Giuseppe Meazza,,2,0,Atalanta,2019-2020,0.0,75923.0
,8,2019-11-26,20:00,Real Madrid,,,,Paris Saint-Germain,75534,Santiago Bernabéu,,2,2,draw,2019-2020,0.0,81044.0
,8,2019-11-26,17:55,Lokomotiv Moskva,,,,Bayer Leverkusen,25757,RŽD-Arena,,0,2,Bayer Leverkusen,2019-2020,0.0,27320.0
,8,2019-11-26,20:00,Juventus,,,,Atlético Madrid,40486,Allianz Stadium,,1,0,Juventus,2019-2020,0.0,41254.0
,8,2019-11-26,17:55,Galatasaray,,,,Club Brugge KV,34500,Nef Stadyumu,,1,1,draw,2019-2020,0.0,52280.0
,8,2019-11-26,20:00,Tottenham Hotspur,,,,Olympiakos Piraeus,57024,Tottenham Hotspur Stadium,,4,2,Tottenham Hotspur,2019-2020,0.0,62062.0
,8,2019-11-26,20:00,Crvena Zvezda,,,,Bayern München,44118,Marakana,,0,6,Bayern München,2019-2020,0.0,55538.0
,9,2019-11-27,17:55,Valencia CF,,,,Chelsea FC,43486,Estadio de Mestalla,,2,2,draw,2019-2020,0.0,55000.0
,9,2019-11-27,20:00,Slavia Praha,,,,Inter,19370,Sinobo Stadium,,1,3,Inter,2019-2020,0.0,19370.0
,9,2019-11-27,20:00,FC Barcelona,,,,Borussia Dortmund,90071,Spotify Camp Nou,,3,1,FC Barcelona,2019-2020,0.0,99354.0
,9,2019-11-27,17:55,Zenit St. Petersburg,,,,Olympique Lyon,51183,Gazprom Arena,,2,0,Zenit St. Petersburg,2019-2020,0.0,68134.0
,9,2019-11-27,20:00,RB Leipzig,,,,SL Benfica,38339,Red Bull Arena,,2,2,draw,2019-2020,0.0,42558.0
,9,2019-11-27,20:00,RB Leipzig,,,,SL Benfica,38339,Red Bull Arena,,2,2,draw,2019-2020,0.0,31895.0
,9,2019-11-27,20:00,Lille OSC,,,,AFC Ajax,48612,Stade Pierre Mauroy,,0,2,AFC Ajax,2019-2020,0.0,50186.0
,9,2019-11-27,20:00,Liverpool FC,,,,SSC Napoli,52128,Anfield,,1,1,draw,2019-2020,0.0,54074.0
,9,2019-11-27,20:00,KRC Genk,,,,RB Salzburg,17284,Cegeka Arena,,1,4,RB Salzburg,2019-2020,0.0,24956.0
,10,2019-12-10,20:00,AFC Ajax,,,,Valencia CF,51931,Johan Cruijff ArenA,,0,1,Valencia CF,2019-2020,0.0,54990.0
,10,2019-12-10,17:55,RB Salzburg,,,,Liverpool FC,29520,Red Bull Arena,,0,2,Liverpool FC,2019-2020,0.0,42558.0
,10,2019-12-10,20:00,Chelsea FC,,,,Lille OSC,40016,Stamford Bridge,,2,1,Chelsea FC,2019-2020,0.0,41837.0
,10,2019-12-10,17:55,RB Salzburg,,,,Liverpool FC,29520,Red Bull Arena,,0,2,Liverpool FC,2019-2020,0.0,31895.0
,10,2019-12-10,20:00,Olympique Lyon,,,,RB Leipzig,53288,Groupama Stadium,,2,2,draw,2019-2020,0.0,59186.0
,10,2019-12-10,20:00,SL Benfica,,,,Zenit St. Petersburg,40232,Estádio da Luz,,3,0,SL Benfica,2019-2020,0.0,65272.0
,10,2019-12-10,17:55,SSC Napoli,,,,KRC Genk,22265,Diego Maradona,,4,0,SSC Napoli,2019-2020,0.0,60240.0
,10,2019-12-10,20:00,Borussia Dortmund,,,,Slavia Praha,65079,Signal Iduna Park,,2,1,Borussia Dortmund,2019-2020,0.0,81365.0
,10,2019-12-10,20:00,Inter,,,,FC Barcelona,71818,Giuseppe Meazza,,1,2,FC Barcelona,2019-2020,0.0,75923.0
,11,2019-12-11,20:00,Bayern München,,,,Tottenham Hotspur,66353,Allianz Arena,,3,1,Bayern München,2019-2020,0.0,75024.0
,11,2019-12-11,20:00,Bayer Leverkusen,,,,Juventus,29542,BayArena,,0,2,Juventus,2019-2020,0.0,30210.0
,11,2019-12-11,20:00,Atlético Madrid,,,,Lokomotiv Moskva,58426,Wanda Metropolitano,,2,0,Atlético Madrid,2019-2020,0.0,68000.0
,11,2019-12-11,20:00,Olympiakos Piraeus,,,,Crvena Zvezda,31898,Georgios Karaiskakis,,1,0,Olympiakos Piraeus,2019-2020,0.0,33334.0
,11,2019-12-11,20:00,Club Brugge KV,,,,Real Madrid,27308,Jan Breydel Stadion,,1,3,Real Madrid,2019-2020,0.0,29042.0
,11,2019-12-11,17:55,Shakhtar Donetsk,,,,Atalanta,26536,Metalist Stadion,,0,3,Atalanta,2019-2020,0.0,41307.0
,11,2019-12-11,17:55,Dinamo Zagreb,,,,Manchester City,29385,Maksimir,,1,4,Manchester City,2019-2020,0.0,38079.0
,11,2019-12-11,20:00,Paris Saint-Germain,,,,Galatasaray,46509,Parc des Princes,,5,0,Paris Saint-Germain,2019-2020,0.0,48712.0
,12,2020-02-18,20:00,Borussia Dortmund,,,,Paris Saint-Germain,66099,Signal Iduna Park,,2,1,Borussia Dortmund,2019-2020,0.0,81365.0
,12,2020-02-18,20:00,Atlético Madrid,,,,Liverpool FC,67443,Wanda Metropolitano,,1,0,Atlético Madrid,2019-2020,0.0,68000.0
,13,2020-02-19,20:00,Atalanta,,,,Valencia CF,44236,Giuseppe Meazza,,4,1,Atalanta,2019-2020,0.0,75923.0
,13,2020-02-19,20:00,Tottenham Hotspur,,,,RB Leipzig,60095,Tottenham Hotspur Stadium,,0,1,RB Leipzig,2019-2020,0.0,62062.0
,14,2020-02-25,20:00,Chelsea FC,,,,Bayern München,36761,Stamford Bridge,,0,3,Bayern München,2019-2020,0.0,41837.0
,14,2020-02-25,20:00,SSC Napoli,,,,FC Barcelona,44388,Diego Maradona,,1,1,draw,2019-2020,0.0,60240.0
,15,2020-02-26,20:00,Real Madrid,,,,Manchester City,75615,Santiago Bernabéu,,1,2,Manchester City,2019-2020,0.0,81044.0
,15,2020-02-26,20:00,Olympique Lyon,,,,Juventus,57335,Groupama Stadium,,1,0,Olympique Lyon,2019-2020,0.0,59186.0
,16,2020-03-10,20:00,Valencia CF,,,,Atalanta,0,Estadio de Mestalla,,3,4,Atalanta,2019-2020,0.0,55000.0
,16,2020-03-10,20:00,RB Leipzig,,,,Tottenham Hotspur,42146,Red Bull Arena,,3,0,RB Leipzig,2019-2020,0.0,31895.0
,16,2020-03-10,20:00,RB Leipzig,,,,Tottenham Hotspur,42146,Red Bull Arena,,3,0,RB Leipzig,2019-2020,0.0,42558.0
,17,2020-03-11,20:00,Paris Saint-Germain,,,,Borussia Dortmund,0,Parc des Princes,,2,0,Paris Saint-Germain,2019-2020,0.0,48712.0
,17,2020-03-11,20:00,Liverpool FC,,,,Atlético Madrid,45000,Anfield,,2,3,Atlético Madrid,2019-2020,0.0,54074.0
,18,2020-08-07,20:00,Juventus,,,,Olympique Lyon,0,Allianz Stadium,,2,1,Juventus,2019-2020,0.0,41254.0
,18,2020-08-07,20:00,Manchester City,,,,Real Madrid,0,Etihad Stadium,,2,1,Manchester City,2019-2020,0.0,55097.0
,19,2020-08-08,20:00,Bayern München,,,,Chelsea FC,0,Allianz Arena,,4,1,Bayern München,2019-2020,0.0,75024.0
,19,2020-08-08,20:00,FC Barcelona,,,,SSC Napoli,0,Spotify Camp Nou,,3,1,FC Barcelona,2019-2020,0.0,99354.0
,20,2020-08-12,20:00,Atalanta,,,,Paris Saint-Germain,0,Estádio da Luz,,1,2,Paris Saint-Germain,2019-2020,0.0,65272.0
,21,2020-08-13,20:00,RB Leipzig,,,,Atlético Madrid,0,Estádio José Alvalade,,2,1,RB Leipzig,2019-2020,0.0,52000.0
,22,2020-08-14,20:00,FC Barcelona,,,,Bayern München,0,Estádio da Luz,,2,8,Bayern München,2019-2020,0.0,65272.0
,23,2020-08-15,20:00,Manchester City,,,,Olympique Lyon,0,Estádio José Alvalade,,1,3,Olympique Lyon,2019-2020,0.0,52000.0
,24,2020-08-18,20:00,RB Leipzig,,,,Paris Saint-Germain,0,Estádio da Luz,,0,3,Paris Saint-Germain,2019-2020,0.0,65272.0
,25,2020-08-19,20:00,Olympique Lyon,,,,Bayern München,0,Estádio José Alvalade,,0,3,Bayern München,2019-2020,0.0,52000.0
,26,2020-08-23,20:00,Paris Saint-Germain,,,,Bayern München,0,Estádio da Luz,,0,1,Bayern München,2019-2020,0.0,65272.0
,0,2020-10-20,20:00,RB Leipzig,,,,İstanbul Başakşehir,999,Red Bull Arena,,2,0,RB Leipzig,2020-2021,0.0,42558.0
,0,2020-10-20,20:00,FC Barcelona,,,,Ferencvárosi TC,0,Spotify Camp Nou,,5,1,FC Barcelona,2020-2021,0.0,99354.0
,0,2020-10-20,17:55,Dinamo Kiev,,,,Juventus,14850,Olimpiyskyi,,0,2,Juventus,2020-2021,0.0,70050.0
,0,2020-10-20,20:00,Lazio Roma,,,,Borussia Dortmund,1000,Olimpico,,3,1,Lazio Roma,2020-2021,0.0,70634.0
,0,2020-10-20,17:55,Zenit St. Petersburg,,,,Club Brugge KV,16682,Gazprom Arena,,1,2,Club Brugge KV,2020-2021,0.0,68134.0
,0,2020-10-20,20:00,Stade Rennes,,,,FK Krasnodar,4973,Roazhon Park,,1,1,draw,2020-2021,0.0,29778.0
,0,2020-10-20,20:00,Chelsea FC,,,,Sevilla FC,0,Stamford Bridge,,0,0,draw,2020-2021,0.0,41837.0
,0,2020-10-20,20:00,Paris Saint-Germain,,,,Manchester United,0,Parc des Princes,,1,2,Manchester United,2020-2021,0.0,48712.0
,0,2020-10-20,20:00,RB Leipzig,,,,İstanbul Başakşehir,999,Red Bull Arena,,2,0,RB Leipzig,2020-2021,0.0,31895.0
,1,2020-10-21,20:00,AFC Ajax,,,,Liverpool FC,0,Johan Cruijff ArenA,,0,1,Liverpool FC,2020-2021,0.0,54990.0
,1,2020-10-21,20:00,Manchester City,,,,FC Porto,0,Etihad Stadium,,3,1,Manchester City,2020-2021,0.0,55097.0
,1,2020-10-21,20:00,Inter,,,,Bor. Mönchengladbach,1000,Giuseppe Meazza,,2,2,draw,2020-2021,0.0,75923.0
,1,2020-10-21,17:55,Real Madrid,,,,Shakhtar Donetsk,0,Alfredo Di Stéfano,,2,3,Shakhtar Donetsk,2020-2021,0.0,9000.0
,1,2020-10-21,20:00,Bayern München,,,,Atlético Madrid,0,Allianz Arena,,4,0,Bayern München,2020-2021,0.0,75024.0
,1,2020-10-21,17:55,RB Salzburg,,,,Lokomotiv Moskva,3000,Red Bull Arena,,2,2,draw,2020-2021,0.0,42558.0
,1,2020-10-21,20:00,FC Midtjylland,,,,Atalanta,132,MCH Arena,,0,4,Atalanta,2020-2021,0.0,11535.0
,1,2020-10-21,20:00,Olympiakos Piraeus,,,,Olympique Marseille,0,Georgios Karaiskakis,,1,0,Olympiakos Piraeus,2020-2021,0.0,33334.0
,1,2020-10-21,17:55,RB Salzburg,,,,Lokomotiv Moskva,3000,Red Bull Arena,,2,2,draw,2020-2021,0.0,31895.0
,2,2020-10-27,20:00,Atlético Madrid,,,,RB Salzburg,0,Wanda Metropolitano,,3,2,Atlético Madrid,2020-2021,0.0,68000.0
,2,2020-10-27,17:55,Lokomotiv Moskva,,,,Bayern München,8196,RŽD-Arena,,1,2,Bayern München,2020-2021,0.0,27320.0
,2,2020-10-27,20:00,Bor. Mönchengladbach,,,,Real Madrid,0,Borussia-Park,,2,2,draw,2020-2021,0.0,54022.0
,2,2020-10-27,20:00,FC Porto,,,,Olympiakos Piraeus,2450,Estádio do Dragão,,2,0,FC Porto,2020-2021,0.0,54378.0
,2,2020-10-27,20:00,Olympique Marseille,,,,Manchester City,0,Vélodrome,,0,3,Manchester City,2020-2021,0.0,67394.0
,2,2020-10-27,17:55,Shakhtar Donetsk,,,,Inter,10178,Olimpiyskyi,,0,0,draw,2020-2021,0.0,70050.0
,2,2020-10-27,20:00,Atalanta,,,,AFC Ajax,0,Gewiss Stadium,,2,2,draw,2020-2021,0.0,26562.0
,2,2020-10-27,20:00,Liverpool FC,,,,FC Midtjylland,0,Anfield,,2,0,Liverpool FC,2020-2021,0.0,54074.0
,3,2020-10-28,20:00,Manchester United,,,,RB Leipzig,577,Old Trafford,,5,0,Manchester United,2020-2021,0.0,74140.0
,3,2020-10-28,20:00,Juventus,,,,FC Barcelona,0,Allianz Stadium,,0,2,FC Barcelona,2020-2021,0.0,41254.0
,3,2020-10-28,20:00,Ferencvárosi TC,,,,Dinamo Kiev,6171,Groupama Aréna,,2,2,draw,2020-2021,0.0,23700.0
,3,2020-10-28,20:00,Borussia Dortmund,,,,Zenit St. Petersburg,0,Signal Iduna Park,,2,0,Borussia Dortmund,2020-2021,0.0,81365.0
,3,2020-10-28,20:00,Sevilla FC,,,,Stade Rennes,0,Ramón Sánchez Pizjuán,,1,0,Sevilla FC,2020-2021,0.0,43883.0
,3,2020-10-28,20:00,Club Brugge KV,,,,Lazio Roma,0,Jan Breydel Stadion,,1,1,draw,2020-2021,0.0,29042.0
,3,2020-10-28,17:55,İstanbul Başakşehir,,,,Paris Saint-Germain,350,Fatih Terim Stadium,,0,2,Paris Saint-Germain,2020-2021,0.0,17319.0
,3,2020-10-28,17:55,FK Krasnodar,,,,Chelsea FC,10544,Krasnodar Stadium,,0,4,Chelsea FC,2020-2021,0.0,34652.0
,4,2020-11-03,20:00,FC Midtjylland,,,,AFC Ajax,132,MCH Arena,,1,2,AFC Ajax,2020-2021,0.0,11535.0
,4,2020-11-03,20:00,RB Salzburg,,,,Bayern München,0,Red Bull Arena,,2,6,Bayern München,2020-2021,0.0,31895.0
,4,2020-11-03,20:00,Manchester City,,,,Olympiakos Piraeus,0,Etihad Stadium,,3,0,Manchester City,2020-2021,0.0,55097.0
,4,2020-11-03,20:00,FC Porto,,,,Olympique Marseille,0,Estádio do Dragão,,3,0,FC Porto,2020-2021,0.0,54378.0
,4,2020-11-03,20:00,RB Salzburg,,,,Bayern München,0,Red Bull Arena,,2,6,Bayern München,2020-2021,0.0,42558.0
,4,2020-11-03,17:55,Shakhtar Donetsk,,,,Bor. Mönchengladbach,0,Olimpiyskyi,,0,6,Bor. Mönchengladbach,2020-2021,0.0,70050.0
,4,2020-11-03,20:00,Atalanta,,,,Liverpool FC,0,Gewiss Stadium,,0,5,Liverpool FC,2020-2021,0.0,26562.0
,4,2020-11-03,20:00,Real Madrid,,,,Inter,0,Alfredo Di Stéfano,,3,2,Real Madrid,2020-2021,0.0,9000.0
,4,2020-11-03,17:55,Lokomotiv Moskva,,,,Atlético Madrid,8147,RŽD-Arena,,1,1,draw,2020-2021,0.0,27320.0
,5,2020-11-04,17:55,İstanbul Başakşehir,,,,Manchester United,350,Fatih Terim Stadium,,2,1,İstanbul Başakşehir,2020-2021,0.0,17319.0
,5,2020-11-04,20:00,Chelsea FC,,,,Stade Rennes,0,Stamford Bridge,,3,0,Chelsea FC,2020-2021,0.0,41837.0
,5,2020-11-04,17:55,Zenit St. Petersburg,,,,Lazio Roma,0,Gazprom Arena,,1,1,draw,2020-2021,0.0,68134.0
,5,2020-11-04,20:00,Club Brugge KV,,,,Borussia Dortmund,0,Jan Breydel Stadion,,0,3,Borussia Dortmund,2020-2021,0.0,29042.0
,5,2020-11-04,20:00,RB Leipzig,,,,Paris Saint-Germain,0,Red Bull Arena,,2,1,RB Leipzig,2020-2021,0.0,31895.0
,5,2020-11-04,20:00,RB Leipzig,,,,Paris Saint-Germain,0,Red Bull Arena,,2,1,RB Leipzig,2020-2021,0.0,42558.0
,5,2020-11-04,20:00,FC Barcelona,,,,Dinamo Kiev,0,Spotify Camp Nou,,2,1,FC Barcelona,2020-2021,0.0,99354.0
,5,2020-11-04,20:00,Sevilla FC,,,,FK Krasnodar,1,Ramón Sánchez Pizjuán,,3,2,Sevilla FC,2020-2021,0.0,43883.0
,5,2020-11-04,20:00,Ferencvárosi TC,,,,Juventus,18531,Puskás Aréna,,1,4,Juventus,2020-2021,0.0,67215.0
,6,2020-11-24,20:00,Dinamo Kiev,,,,FC Barcelona,0,Olimpiyskyi,,0,4,FC Barcelona,2020-2021,0.0,70050.0
,6,2020-11-24,20:00,Paris Saint-Germain,,,,RB Leipzig,0,Parc des Princes,,1,0,Paris Saint-Germain,2020-2021,0.0,48712.0
,6,2020-11-24,20:00,Borussia Dortmund,,,,Club Brugge KV,0,Signal Iduna Park,,3,0,Borussia Dortmund,2020-2021,0.0,81365.0
,6,2020-11-24,17:55,Stade Rennes,,,,Chelsea FC,0,Roazhon Park,,1,2,Chelsea FC,2020-2021,0.0,29778.0
,6,2020-11-24,20:00,Lazio Roma,,,,Zenit St. Petersburg,0,Olimpico,,3,1,Lazio Roma,2020-2021,0.0,70634.0
,6,2020-11-24,20:00,Manchester United,,,,İstanbul Başakşehir,545,Old Trafford,,4,1,Manchester United,2020-2021,0.0,74140.0
,6,2020-11-24,20:00,Juventus,,,,Ferencvárosi TC,0,Allianz Stadium,,2,1,Juventus,2020-2021,0.0,41254.0
,6,2020-11-24,17:55,FK Krasnodar,,,,Sevilla FC,10554,Krasnodar Stadium,,1,2,Sevilla FC,2020-2021,0.0,34652.0
,7,2020-11-25,20:00,Olympique Marseille,,,,FC Porto,0,Vélodrome,,0,2,FC Porto,2020-2021,0.0,67394.0
,7,2020-11-25,20:00,AFC Ajax,,,,FC Midtjylland,0,Johan Cruijff ArenA,,3,1,AFC Ajax,2020-2021,0.0,54990.0
,7,2020-11-25,20:00,Inter,,,,Real Madrid,0,Giuseppe Meazza,,0,2,Real Madrid,2020-2021,0.0,75923.0
,7,2020-11-25,20:00,Atlético Madrid,,,,Lokomotiv Moskva,0,Wanda Metropolitano,,0,0,draw,2020-2021,0.0,68000.0
,7,2020-11-25,17:55,Olympiakos Piraeus,,,,Manchester City,0,Georgios Karaiskakis,,0,1,Manchester City,2020-2021,0.0,33334.0
,7,2020-11-25,17:55,Bor. Mönchengladbach,,,,Shakhtar Donetsk,0,Borussia-Park,,4,0,Bor. Mönchengladbach,2020-2021,0.0,54022.0
,7,2020-11-25,20:00,Bayern München,,,,RB Salzburg,0,Allianz Arena,,3,1,Bayern München,2020-2021,0.0,75024.0
,7,2020-11-25,20:00,Liverpool FC,,,,Atalanta,0,Anfield,,0,2,Atalanta,2020-2021,0.0,54074.0
,8,2020-12-01,17:55,Shakhtar Donetsk,,,,Real Madrid,0,Olimpiyskyi,,2,0,Shakhtar Donetsk,2020-2021,0.0,70050.0
,8,2020-12-01,20:00,Bor. Mönchengladbach,,,,Inter,0,Borussia-Park,,2,3,Inter,2020-2021,0.0,54022.0
,8,2020-12-01,20:00,Atalanta,,,,FC Midtjylland,0,Gewiss Stadium,,1,1,draw,2020-2021,0.0,26562.0
,8,2020-12-01,20:00,FC Porto,,,,Manchester City,0,Estádio do Dragão,,0,0,draw,2020-2021,0.0,54378.0
,8,2020-12-01,20:00,Atlético Madrid,,,,Bayern München,0,Wanda Metropolitano,,1,1,draw,2020-2021,0.0,68000.0
,8,2020-12-01,20:00,Olympique Marseille,,,,Olympiakos Piraeus,0,Vélodrome,,2,1,Olympique Marseille,2020-2021,0.0,67394.0
,8,2020-12-01,20:00,Liverpool FC,,,,AFC Ajax,0,Anfield,,1,0,Liverpool FC,2020-2021,0.0,54074.0
,8,2020-12-01,17:55,Lokomotiv Moskva,,,,RB Salzburg,6759,RŽD-Arena,,1,3,RB Salzburg,2020-2021,0.0,27320.0
,9,2020-12-02,20:00,Sevilla FC,,,,Chelsea FC,0,Ramón Sánchez Pizjuán,,0,4,Chelsea FC,2020-2021,0.0,43883.0
,9,2020-12-02,20:00,Ferencvárosi TC,,,,FC Barcelona,0,Groupama Aréna,,0,3,FC Barcelona,2020-2021,0.0,23700.0
,9,2020-12-02,20:00,Juventus,,,,Dinamo Kiev,0,Allianz Stadium,,3,0,Juventus,2020-2021,0.0,41254.0
,9,2020-12-02,20:00,Club Brugge KV,,,,Zenit St. Petersburg,0,Jan Breydel Stadion,,3,0,Club Brugge KV,2020-2021,0.0,29042.0
,9,2020-12-02,17:55,FK Krasnodar,,,,Stade Rennes,8747,Krasnodar Stadium,,1,0,FK Krasnodar,2020-2021,0.0,34652.0
